Mean Parent Income,Mean Child Income
48000,40700
57700,42400
55300,55300
43400,37800
47600,63900
,
64400,51700
49300,47500
58300,49200
,
,
,
,
42200,42000
41600,42800
57700,44700
43400,50300
47800,43400
66000,48700
63700,61800
39600,42700
44100,43900
44800,44500
55000,44000
52300,42800
47800,47600
60400,51500
43500,37500
42400,36800
55400,59600
43700,42800
56900,41800
50600,45100
64100,41000
59400,49400
51200,45200
41100,37300
77100,46200
51000,39800
50800,38300
46600,38800
53100,46100
69400,57800
50200,41300
56100,50400
55200,41100
38200,39600
,
71100,50200
41600,37200
44800,39500
59000,51400
62800,50500
38600,41400
93400,48300
66300,48400
83400,49100
47900,55800
54000,57600
63900,59700
53000,43900
103500,49100
118300,51600
68900,42000
74300,43800
62900,41200
61900,41500
59600,41300
79700,44600
61000,42400
,
56800,45900
48000,40600
67700,45500
70000,41000
55200,36500
54100,38400
62900,41400
57900,47700
80300,43600
61800,40000
70500,42600
59600,43200
78100,43600
58000,46600
91000,42600
77100,44900
,
60100,39100
64700,43100
66800,43600
76600,45900
65400,42400
121000,51200
,
78300,43500
72900,53200
102600,55900
65800,52600
74600,53200
57700,48800
89100,54900
69900,48800
66700,51500
123500,63400
86500,56200
64900,54100
66500,45500
65700,51500
89700,55100
158700,66400
67400,56100
60000,50200
62600,51200
72300,51000
66000,48100
101100,56800
81500,48100
129700,61500
79100,55100
78600,49900
59900,49100
,
75200,51200
57300,50500
60700,56300
60600,47700
69600,55800
62600,49700
67800,51600
83800,52600
89400,52400
69100,50000
80400,52200
95000,57100
78600,52700
69100,49600
64900,47700
66400,49700
59800,43400
75700,49000
139900,65100
99800,56800
94700,55600
61200,51000
69700,49500
52100,37200
72400,50800
72200,51500
67200,54400
68000,51800
60600,51100
,
59700,54500
58700,49700
78800,53600
64500,48300
73300,46100
84000,56200
66700,49500
85500,56700
68900,52900
87500,53600
121600,63800
116700,55800
98000,52000
78800,48500
99400,54600
52200,35200
73200,41200
35800,23300
65300,37300
44900,35800
49100,32300
80700,38300
55700,38000
53700,31600
82600,38300
63200,32900
49000,33200
52800,34700
40600,31100
42800,30200
55500,34500
42300,28100
66000,42900
50600,31600
48300,29000
63000,36000
57500,33900
88500,42200
61700,34800
43200,31300
58900,35100
44500,28500
60500,37200
54800,34500
52600,33700
36100,26500
81200,45000
46500,28600
37700,28800
37800,25900
55400,37000
62800,41900
47900,30800
71400,41900
75200,37200
47900,37800
73700,41000
52900,33300
49200,31500
37800,29700
78100,43700
,
66700,55500
,
50400,56300
85200,57100
85600,59800
63500,51600
,
53600,50700
,
49200,42700
,
79200,59900
75800,56200
,
59800,51400
77200,59000
49500,53800
,
39900,30100
,
,
61800,49900
,
67800,58100
48400,56200
,
57400,61600
,
,
,
79000,54500
67700,60900
,
,
,
,
58800,63500
71000,57100
73700,54200
75900,55900
,
59700,61000
,
,
60700,44900
,
,
103300,55900
64100,45600
76800,48700
,
,
49400,43200
,
34000,15300
58300,57500
,
,
31400,15600
49100,50700
61300,57100
100400,60200
51000,49400
75900,57900
,
79600,45900
61300,36700
49000,36100
46200,40300
71200,42600
70700,40700
45000,33900
56800,42700
52400,38100
50600,40600
72000,41100
51800,50100
45400,41200
,
43000,31300
67400,44800
48000,35800
51700,37300
