State,Commuting Zone ID,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile,High School Dropout Rate
TX,30908,5.729,14.1,5.612,-0.007
KS,31001,6.504,16.5,-1.545,-0.004
KS,31002,9.888,13.8,-3.071,-0.025
KS,31003,6.577,13.5,15.348,-0.034
KS,31004,5.555,15.5,-8.461,0.023
TX,31005,6.59,12.5,4.529,-0.027
OK,31006,6.397,14.7,0.488,-0.016
TX,31007,5.242,14.2,2.879,-0.024
TX,31101,5.525,15.4,2.359,0.006
TX,31102,5.745,14.4,2.489,-0.018
TX,31103,5.388,14,-1.242,-0.021
TX,31201,5.891,15.6,-2.109,0.002
TX,31202,5.983,14.1,10.297,-0.015
TX,31301,5.845,15.8,1.064,0.003
TX,31302,5.794,14.3,0.022,-0.014
TX,31303,5.495,14.9,10.5,-0.005
TX,31304,7.087,10.4,,
TX,31401,4.923,17.1,-1.318,0.013
TX,31402,6.427,14,1.343,-0.011
TX,31403,11.336,12.6,-3.859,0.01
TX,31404,6.333,12.6,-0.945,-0.007
TX,31501,6.533,14,-8.178,0.035
TX,31502,6.349,14,-11.674,0.012
TX,31503,6.223,16.6,-11.566,0
TX,31600,6.028,15.9,-1.41,0.012
TX,31700,5.918,15.7,-2.187,0.007
TX,31800,6.227,15.2,1.182,-0.005
TX,31900,5.65,16.7,10.619,-0.01
TX,32000,5.791,17,-1.559,0.007
TX,32100,5.695,15.4,-1.083,-0.003
TX,32201,5.359,14.7,4.851,-0.01
TX,32202,5.958,13.9,1.487,-0.01
TX,32301,5.299,15.1,3.469,-0.006
TX,32302,6.125,12.6,7.546,-0.024
TX,32303,6.72,11.4,16.151,-0.035
TX,32304,6.031,14,-2.206,0.006
TX,32305,5.212,16,-4.028,-0.011
TX,32306,5.251,17.2,1.012,-0.013
TX,32401,6.082,14.1,0.588,-0.015
TX,32402,7.216,12.5,13.841,-0.01
TX,32403,7.856,12.8,0.891,-0.009
TX,32501,5.929,13.6,11,-0.01
TX,32502,5.916,13.4,7.926,-0.016
TX,32503,7.916,10.3,10.797,-0.028
TX,32601,5.821,14.5,6.765,-0.014
TX,32602,5.504,13.5,10.139,-0.03
TX,32603,5.971,11.8,,
TX,32604,5.626,13.3,-1.516,-0.022
TX,32701,5.841,12.8,9.944,-0.009
TX,32702,5.216,14.7,7.532,-0.016
TX,32801,5.56,14.9,1.721,0.002
TX,32802,6.463,13.8,1.524,-0.012
TX,32900,5.49,15.2,3.108,-0.01
TX,33000,5.928,16.6,-0.276,0.007
TX,33100,6.018,16.6,-1.675,0.004
TX,33200,6.042,14.2,5.65,-0.014
TX,33300,5.168,15,3.891,-0.009
TX,33400,5.525,14.6,4.051,-0.008
TX,33500,5.48,14.2,4.345,-0.003
OK,33601,4.616,17.1,-1.779,-0.009
OK,33602,4.88,15.6,5.331,-0.004
OK,33603,6.161,13.8,-8.75,0.017
OK,33700,4.889,15.7,-2.527,-0.007
